ProteinName,FullPeptideName,transition_group_id,transition_name,RetentionTime,Annotation,PrecursorMz,MS1 Res,ProductMz,MS2 Res,Dwell,Fragmentor,Collision Energy,Cell Accelerator Voltage,LibraryIntensity,decoy,PeptideSequence,LabelType,PrecursorCharge,FragmentCharge,FragmentType,FragmentSeriesNumber,quantifying_transition,identifying_transition,detecting_transition
2obut,,2obut,2obut.2obut_1.Heavy,8.6,,105.0144,Unit,75.00671,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
2obut,,2obut,2obut.2obut_1.Light,8.6,,101.001,Unit,73,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
2obut,,2obut,2obut.2obut_2.Light,8.6,,101.001,Unit,32,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
f1p,,f1p,f1p.f1p_1.Heavy,9.38,,265.003,Unit,79,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
f1p,,f1p,f1p.f1p_1.Light,9.38,,259.003,Unit,79,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
f1p,,f1p,f1p.f1p_2.Light,9.38,,259.003,Unit,97,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
dcmp,,dcmp,dcmp.dcmp_1.Heavy,9.446137557,,315,Unit,200,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
dcmp,,dcmp,dcmp.dcmp_1.Light,9.458321002,,306,Unit,195,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
dcmp,,dcmp,dcmp.dcmp_2.Light,9.458321002,,306,Unit,79,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
ump,,ump,ump.ump_1.Heavy,9.711581042,,332,Unit,79,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
ump,,ump,ump.ump_1.Light,9.725824278,,323,Unit,79,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
ump,,ump,ump.ump_2.Light,9.725824278,,323,Unit,97,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
dhap,,dhap,dhap.dhap_1.Heavy,10.05631763,,172,Unit,97,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
dhap,,dhap,dhap.dhap_1.Light,10.05661802,,169,Unit,97,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
dhap,,dhap,dhap.dhap_2.Light,10.05661802,,169,Unit,79,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
dump,,dump,dump.dump_1.Heavy,10.67332428,,316,Unit,79,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
dump,,dump,dump.dump_1.Light,10.67332428,,307,Unit,79,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
dump,,dump,dump.dump_2.Light,10.67332428,,307,Unit,195,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
dimp,,dimp,dimp.dimp_1.Heavy,11.16484495,,341,Unit,140,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
dimp,,dimp,dimp.dimp_1.Light,11.16484495,,331,Unit,135,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
dimp,,dimp,dimp.dimp_2.Light,11.16484495,,331,Unit,79,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
35cgmp,,35cgmp,35cgmp.35cgmp_1.Heavy,10.69269493,,354,Unit,155,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
35cgmp,,35cgmp,35cgmp.35cgmp_1.Light,10.69269493,,344,Unit,150,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
35cgmp,,35cgmp,35cgmp.35cgmp_2.Light,10.69269493,,344,Unit,79,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
dgmp,,dgmp,dgmp.dgmp_1.Heavy,11.28515926,,356.0356,Unit,79,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
dgmp,,dgmp,dgmp.dgmp_1.Light,11.25452448,,346.002,Unit,79,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
dgmp,,dgmp,dgmp.dgmp_2.Light,11.25452448,,346.002,Unit,133,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
dtmp,,dtmp,dtmp.dtmp_1.Heavy,11.32827294,,331.002,Unit,200,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
dtmp,,dtmp,dtmp.dtmp_1.Light,11.33423478,,321,Unit,195,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
ribflv,,ribflv,ribflv.ribflv_1.Heavy,11.41485949,,392,Unit,268,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
ribflv,,ribflv,ribflv.ribflv_1.Light,11.42088624,,375,Unit,255,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
amp,,amp,amp.amp_1.Heavy,11.70588293,,356,Unit,139,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
amp,,amp,amp.amp_1.Light,11.71031209,,346,Unit,134,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
amp,,amp,amp.amp_2.Light,11.71031209,,346,Unit,79,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
gmp,,gmp,gmp.gmp_1.Heavy,11.72796342,,372,Unit,79,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
